incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
879495251,18-2730383,09/30/2018 11:30:50 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block WEIMAR ST,,BUFFALO,NY,,,42.8687220865069,-78.80782422558526,09/30/2018 06:21:25 PM,09/23/2019 11:34:02 PM,POINT (-78.80782422558526 42.8687220865069),11,Sunday,Assault
944130953,11-3380036,12/04/2011 12:20:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,200 Block DELAWARE AV,,BUFFALO,NY,,,42.891340175108134,-78.87686754266181,10/10/2019 07:15:14 PM,10/10/2019 07:16:19 PM,POINT (-78.87686754266181 42.891340175108134),0,Sunday,Assault
944131168,11-2960682,10/23/2011 05:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block HEWITT AV,,BUFFALO,NY,,,42.94255480595828,-78.82381564976677,10/10/2019 07:15:41 PM,10/10/2019 07:16:52 PM,POINT (-78.82381564976677 42.94255480595828),17,Sunday,Assault
863105309,18-1890786,07/08/2018 06:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block MANHATTAN AV,,BUFFALO,NY,,,42.934038683455796,-78.82859969382433,07/09/2018 06:56:24 AM,09/23/2019 11:33:56 PM,POINT (-78.82859969382433 42.934038683455796),18,Sunday,Assault
936412334,19-2300677,08/18/2019 05:31:04 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,200 Block WINSLOW AV,,BUFFALO,NY,,,42.91326606073256,-78.84176943826505,08/19/2019 01:59:13 AM,08/19/2019 02:16:48 AM,POINT (-78.84176943826505 42.91326606073256),5,Sunday,Assault
942629065,08-0060483,01/06/2008 04:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,WADSWORTH ST & ST JOHNS PL,,BUFFALO,NY,,,42.900900345473566,-78.8830337762998,09/24/2019 10:38:30 PM,09/24/2019 10:41:02 PM,POINT (-78.8830337762998 42.900900345473566),16,Sunday,Assault
942585592,06-0220273,01/22/2006 07:00:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block SHIRLEY AV,,BUFFALO,NY,14215,,42.9447217,-78.8178459,09/24/2019 05:27:28 PM,09/24/2019 10:55:00 PM,POINT (-78.8178459 42.9447217),7,Sunday,Assault
942640938,07-1891041,07/08/2007 09:06:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block BIRD AV,,BUFFALO,NY,,,42.925625444030054,-78.89230126908153,09/24/2019 10:42:52 PM,09/24/2019 10:45:37 PM,POINT (-78.89230126908153 42.925625444030054),21,Sunday,Assault
942645787,07-1120236,04/22/2007 04:00:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,400 Block GRIDER ST,,BUFFALO,NY,,,42.91768408804688,-78.82913214288325,09/24/2019 10:44:20 PM,09/24/2019 10:48:13 PM,POINT (-78.82913214288325 42.91768408804688),4,Sunday,Assault
948205096,19-3280864,11/24/2019 09:40:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,400 Block HIGHGATE AV,,BUFFALO,NY,,,42.94793237671836,-78.81057701428534,11/25/2019 07:05:58 AM,12/05/2019 12:45:44 PM,POINT (-78.81057701428534 42.94793237671836),21,Sunday,Assault
